Isolate_Id,HA Segment_Id,Isolate_Name,Subtype,Host,Collection_Date
EPI_ISL_209906,EPI705536|A/duck/Jiangsu/J2843/2014,A_duck_Jiangsu_J2843_2014,A_/_H3,Duck,2014/8/19
EPI_ISL_209905,EPI705535|A/duck/Jiangsu/J2420/2014,A_duck_Jiangsu_J2420_2014,A_/_H3,Duck,2014/8/19
EPI_ISL_209903,EPI705533|A/duck/Jiangsu/J2411/2014,A_duck_Jiangsu_J2411_2014,A_/_H3,Duck,2014/8/19
EPI_ISL_209901,EPI705531|A/duck/Jiangsu/J2406/2014,A_duck_Jiangsu_J2406_2014,A_/_H3,Duck,2014/8/19
EPI_ISL_209890,EPI705520|A/duck/Jiangsu/J2284/2014,A_duck_Jiangsu_J2284_2014,A_/_H3,Duck,2014/8/19
EPI_ISL_209889,EPI705519|A/duck/Jiangsu/J2283/2014,A_duck_Jiangsu_J2283_2014,A_/_H3,Duck,2014/8/19
EPI_ISL_209886,EPI705516|A/duck/Jiangsu/J2280/2014,A_duck_Jiangsu_J2280_2014,A_/_H3,Duck,2014/8/19
EPI_ISL_209885,EPI705515|A/duck/Jiangsu/J2278/2014,A_duck_Jiangsu_J2278_2014,A_/_H3,Duck,2014/8/19
EPI_ISL_209881,EPI705511|A/duck/Jiangsu/J2202/2014,A_duck_Jiangsu_J2202_2014,A_/_H3,Duck,2014/8/19
EPI_ISL_209880,EPI705510|A/duck/Jiangsu/J2200/2014,A_duck_Jiangsu_J2200_2014,A_/_H3,Duck,2014/8/19
EPI_ISL_209876,EPI705506|A/duck/Jiangsu/J2186/2014,A_duck_Jiangsu_J2186_2014,A_/_H3,Duck,2014/8/19
EPI_ISL_209863,EPI705493|A/duck/Guangdong/G2001/2014,A_duck_Guangdong_G2001_2014,A_/_H3,Duck,2014/8/26
EPI_ISL_209840,EPI705449|A/duck/Jiangsu/JF356/2014,A_duck_Jiangsu_JF356_2014,A_/_H3,Duck,2014/11/6
EPI_ISL_209836,EPI705445|A/duck/Jiangsu/J3784/2014,A_duck_Jiangsu_J3784_2014,A_/_H3,Duck,2014/11/6
EPI_ISL_209835,EPI705444|A/duck/Jiangsu/J3781/2014,A_duck_Jiangsu_J3781_2014,A_/_H3,Duck,2014/11/6
